8	0.001500
16	0.000013
32	0.000014
64	0.000013
128	0.000014
256	0.000016
512	0.000015
1024	0.000014
2048	0.000017
4096	0.000018
8192	0.000025
16384	0.000052
32768	0.000055
65536	0.000064
131072	0.000086
262144	0.000136
524288	0.000230
1048576	0.000425
2097152	0.001677
4194304	0.003332
8388608	0.007660
16777216	0.014281
33554432	0.033029
67108864	0.061723
134217728	0.110272
268435456	0.207739
536870912	0.438005
1073741824	0.847894
2147483648	1.677310
4294967296	3.361129
8589934592	6.696305
17179869176	14.3647088
